Table,Field Name,Description,possible values
admissions,admission_location,Admission location.
admissions,admission_type,"Type of admission, for example emergency or elective."
admissions,admittime,Time of admission to the hospital.
admissions,deathtime,Time of death.
admissions,diagnosis,Diagnosis.
admissions,discharge_location,Discharge location
admissions,dischtime,Time of discharge from the hospital.
admissions,ethnicity,Ethnicity,"WHITE; BLACK/AFRICAN AMERICAN; ASIAN; HISPANIC OR LATINO; OTHER; UNKNOWN; WHITE - RUSSIAN; ASIAN - CHINESE; HISPANIC/LATINO - PUERTO RICAN; ASIAN - VIETNAMESE; WHITE - BRAZILIAN; BLACK/AFRICAN; ASIAN - FILIPINO; WHITE - EASTERN EUROPEAN; ASIAN - CAMBODIAN; HISPANIC/LATINO - DOMINICAN; ASIAN - JAPANESE; BLACK/HAITIAN; ASIAN - KOREAN; WHITE - NORTH AFRICAN; ASIAN - INDIAN; HISPANIC/LATINO - CENTRAL AMERICAN (OTHER); ASIAN - THAI; WHITE - MIDDLE EASTERN; ASIAN - ASIAN INDIAN; HISPANIC/LATINO - CUBAN; ASIAN - LAOTIAN; WHITE - WESTERN EUROPEAN; HISPANIC/LATINO - MEXICAN; HISPANIC/LATINO - SOUTH AMERICAN"
admissions,hadm_id,Primary key. Identifies the hospital stay.
admissions,has_chartevents_data,Hospital admission has at least one observation in the CHARTEVENTS table.
admissions,hospital_expire_flag,
admissions,insurance,Insurance type.
admissions,language,Language.
admissions,marital_status,Marital status.
admissions,religion,Religon.
admissions,row_id,Unique row identifier.
admissions,subject_id,Foreign key. Identifies the patient.
caregivers,cgid,Unique caregiver identifier.
caregivers,description,"More detailed description of the caregiver, if available."
caregivers,label,"Title of the caregiver, for example MD or RN."
caregivers,row_id,Unique row identifier.
chartevents,cgid,Foreign key. Identifies the caregiver.
chartevents,charttime,Time when the event occured.
chartevents,error,Flag to highlight an error with the event.
chartevents,hadm_id,Foreign key. Identifies the hospital stay.
chartevents,icustay_id,Foreign key. Identifies the ICU stay.
chartevents,itemid,Foreign key. Identifies the charted item.
chartevents,resultstatus,Result status of lab data.
chartevents,row_id,Unique row identifier.
chartevents,stopped,"Text string indicating the stopped status of an event (i.e. stopped, not stopped)."
chartevents,storetime,Time when the event was recorded in the system.
